file,cases,dates,kind
scanned_300/SCANNEDcourt docs ppo cust scanned_0029/court docs ppo cust scanned_0016.pdf,,2025-10-18,order_related
scanned_300/SCANNEDcourt docs ppo cust scanned_0029/court docs ppo cust scanned_0015.pdf,,2025-05-16,order_related
scanned_300/SCANNEDcourt docs ppo cust scanned_0029/court docs ppo cust scanned_0010.pdf,,2024-12-04,order_related
scanned_300/SCANNEDcourt docs ppo cust scanned_0029/court docs ppo cust scanned_0011.pdf,,2025-01-07,order_related
scanned_300/SCANNEDcourt docs ppo cust scanned_0029/court docs ppo cust scanned_0009.pdf,,"2020-12-04,2023-12-04,2024-11-27,2025-12-04",service
scanned_300/SCANNEDcourt docs ppo cust scanned_0029/court docs ppo cust scanned_0007.pdf,,2025-05-16,order_related
scanned_300/SCANNEDcourt docs ppo cust scanned_0029/court docs ppo cust scanned_0006.pdf,,2023-12-04,order_related
scanned_300/SCANNEDcourt docs ppo cust scanned_0029/court docs ppo cust scanned_0004.pdf,,2024-04-01,service
scanned_300/SCANNED 5th exparte suspension 18 pdfs/NoReply_20260105_131630_0001.pdf,2024-001507-DC,"2025-10-29,2025-11-26",order_related
scanned_300/SCANNED 5th exparte suspension 18 pdfs/NoReply_20260105_131630_0003.pdf,2024-001507-DC,"2025-08-08,2025-08-22,2025-09-04,2025-09-22",order_related
scanned_300/SCANNED 5th exparte suspension 18 pdfs/NoReply_20260105_131630_0004.pdf,2024-001507-DC,"2025-01-26,2025-09-12,2025-10-29,2025-12-05",order_related
scanned_300/SCANNED 5th exparte suspension 18 pdfs/NoReply_20260105_131630_0007.pdf,,2025-11-26,notice
