src,dst,relation,weight,notes
MCR-1.101@2025-05-01,MCR-2.602@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-5.311@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-9.222@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-6.101@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.935@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-9.121@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.603@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.412@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.512@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.310@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-5.106@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-8.302@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.952@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.622@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.706@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.606@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-8.121@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-7.111@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.604@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.311@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.931-3@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-6.302@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.303@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-9.224@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-5.109@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.205@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.214@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.406@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.984@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-6.506@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-7.113@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.611@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.106@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-8.116@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.314@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-9.116@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.219@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.975@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.301@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.107@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-8.117@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.119@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-5.113@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.603@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.981-3@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.110@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.922@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.970@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.981@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.303@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-6.431@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.306@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.113@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-7.120@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.983@2025-05-01,cross_refs,1,auto-cite
