":ID",":LABEL","citation","type","lane"
"RULE_54","Rule","MCR","MCR","A,B,D"
"RULE_55","Rule","MCR","MCR","A,B,D"
"RULE_56","Rule","MCR","MCR","A,B,D"
"RULE_57","Rule","MCR","MCR","A,B,D"
"RULE_58","Rule","MCR","MCR","A,B"
"RULE_59","Rule","MCR","MCR","A,B,D"
"RULE_60","Rule","MCR","MCR","A,B,D"
"RULE_61","Rule","MCR","MCR","A,D"
"RULE_62","Rule","MCR","MCR","A,B,D"
"RULE_63","Rule","MCR","MCR","A,B,D"
"RULE_64","Rule","MCR","MCR","A,B,D"
"RULE_65","Rule","MCR","MCR","A,B,D,E"
"RULE_66","Rule","MCR","MCR","A,B,D,E"
"RULE_67","Rule","MCR","MCR","A,B,D"
"RULE_68","Rule","MCR","MCR","A,B"
"RULE_69","Rule","MCR","MCR","A,B"
"RULE_70","Rule","MCR","MCR","A"
"RULE_71","Rule","MCR","MCR","A,B"
"RULE_72","Rule","MCR","MCR","A,B,D"
"RULE_73","Rule","MCR","MCR","A,B,D"
"RULE_74","Rule","MCR","MCR","A,B,D,E"
"RULE_75","Rule","MCR","MCR","A"
"RULE_76","Rule","MCR","MCR","A"
"RULE_77","Rule","MCR","MCR","A"
"RULE_78","Rule","MCR","MCR","A"
"RULE_79","Rule","MCR","MCR",""
"RULE_80","Rule","MCR","MCR",""
"RULE_81","Rule","MCR","MCR",""
"RULE_82","Rule","MCR","MCR","F"
"RULE_83","Rule","MCR","MCR","F"
"RULE_84","Rule","MCR","MCR","F"
"RULE_85","Rule","MCL","MCL","F6-F7"
"RULE_86","Rule","MCL","MCL","F8"
"RULE_87","Rule","MCL","MCL","F4-F5"
"RULE_88","Rule","MCL","MCL","F4-F5"
"RULE_89","Rule","MCL","MCL","F4-F5"
"RULE_90","Rule","MCL","MCL","F2"
"RULE_91","Rule","MCL","MCL","F2"
"RULE_92","Rule","MCL","MCL","F2"
"RULE_93","Rule","MCL","MCL","F3"
"RULE_94","Rule","MCL","MCL","F3"
"RULE_95","Rule","MCL","MCL","F2"
"RULE_96","Rule","MCL","MCL","F1"
"RULE_97","Rule","MCL","MCL","F8"
"RULE_98","Rule","MCL","MCL","F8"
"RULE_99","Rule","MCL","MCL","F8"
"RULE_100","Rule","MCL","MCL","F8"
"RULE_101","Rule","MCL","MCL","F6-F7"
"RULE_102","Rule","MCL","MCL","F8"
"RULE_103","Rule","MCL","MCL","F1-F10"
"RULE_104","Rule","MCL","MCL","F1-F10"
"RULE_105","Rule","MCL","MCL","F9-F10"
"RULE_106","Rule","MCL","MCL","F1-F10"
"RULE_107","Rule","MCL","MCL","F1-F10"
"RULE_108","Rule","MCL","MCL","F1-F10"
"RULE_109","Rule","MCL","MCL","F1-F10"
"RULE_110","Rule","MCL","MCL","F1-F10"
"RULE_111","Rule","MCL","MCL","F9-F10"
"RULE_112","Rule","MCL","MCL","F1-F10"
"RULE_113","Rule","MCL","MCL","F1-F10"
"RULE_114","Rule","MCL","MCL","A"
"RULE_115","Rule","MCL","MCL","A"
"RULE_116","Rule","MCL","MCL","A"
"RULE_117","Rule","MCL","MCL","A"
"RULE_118","Rule","MCL","MCL","A"
"RULE_119","Rule","MCL","MCL","A"
"RULE_120","Rule","MCL","MCL","A"
"RULE_121","Rule","MCL","MCL","A"
"RULE_122","Rule","MCL","MCL","A"
"RULE_123","Rule","MCL","MCL","A"
"RULE_124","Rule","MCL","MCL","A"
"RULE_125","Rule","MCL","MCL","A"
"RULE_126","Rule","MCL","MCL","A"
"RULE_127","Rule","MCL","MCL","A"
"RULE_128","Rule","MCL","MCL","A"
"RULE_129","Rule","MCL","MCL","A"
"RULE_130","Rule","MCL","MCL","A"
"RULE_131","Rule","MCL","MCL","A"
"RULE_132","Rule","MCL","MCL","A"
"RULE_133","Rule","MCL","MCL","A"
"RULE_134","Rule","MCL","MCL","A"
"RULE_135","Rule","MCL","MCL","A"
"RULE_136","Rule","MCL","MCL","A"
"RULE_137","Rule","MCL","MCL","A"
"RULE_138","Rule","MCL","MCL","A"
"RULE_139","Rule","MCL","MCL","A"
"RULE_140","Rule","MCL","MCL","A"
"RULE_141","Rule","MCL","MCL","A"
"RULE_142","Rule","MCL","MCL","D"
"RULE_143","Rule","MCL","MCL","D"
"RULE_144","Rule","MCL","MCL","D"
"RULE_145","Rule","MCL","MCL","D"
"RULE_146","Rule","MCL","MCL","All"
"RULE_147","Rule","MCL","MCL","All"
"RULE_148","Rule","MCL","MCL","E"
"RULE_149","Rule","MCL","MCL","E"
"RULE_150","Rule","MCL","MCL","All"
"RULE_151","Rule","MCL","MCL","All"
"RULE_152","Rule","MCL","MCL","All"
"RULE_153","Rule","MCL","MCL","All"
"RULE_154","Rule","MCL","MCL","All"
"RULE_155","Rule","MCL","MCL","All"
"RULE_156","Rule","MCL","MCL","All"
"RULE_157","Rule","MCL","MCL","All"
"RULE_158","Rule","MCL","MCL","All"
"RULE_159","Rule","MCL","MCL","All"
"RULE_160","Rule","MCL","MCL","All"
"RULE_161","Rule","MCL","MCL","D"
"RULE_162","Rule","MCL","MCL","D"
"RULE_163","Rule","MCL","MCL","A"
"RULE_164","Rule","MCL","MCL","A"
"RULE_165","Rule","MCL","MCL","A"
"RULE_166","Rule","MCL","MCL","A"
"RULE_167","Rule","MCL","MCL","A"
"RULE_168","Rule","MCL","MCL","E"
"RULE_169","Rule","MCL","MCL","E"
"RULE_170","Rule","MCL","MCL","E"
"RULE_171","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_172","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_173","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_174","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_175","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_176","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_177","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_178","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_179","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_180","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_181","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_182","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_183","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_184","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_185","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_186","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_187","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_188","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_189","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_190","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_191","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_192","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_193","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_194","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_195","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_196","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_197","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_198","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_199","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_200","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_201","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_202","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_203","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_204","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_205","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_206","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_207","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_208","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_209","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_210","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_211","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_212","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_213","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_214","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_215","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_216","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_217","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_218","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_219","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_220","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_221","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_222","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_223","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_224","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_225","Rule","CANON","CANON","E"
"RULE_226","Rule","CANON","CANON","E"
"RULE_227","Rule","CANON","CANON","E"
"RULE_228","Rule","CANON","CANON","E"
"RULE_229","Rule","CANON","CANON","E"
"RULE_230","Rule","CASE_LAW","CASE_LAW","F2"
