":ID",":LABEL","name","bates_number","lane","source"
"EXHB_161","Exhibit","A","PIGORS-F01-0161","","judicial_bias_chronology"
"EXHB_162","Exhibit","A","PIGORS-F01-0162","","judicial_bias_chronology"
"EXHB_163","Exhibit","A","PIGORS-F01-0163","","judicial_bias_chronology"
"EXHB_164","Exhibit","A","PIGORS-F01-0164","","judicial_bias_chronology"
"EXHB_165","Exhibit","A","PIGORS-F01-0165","","judicial_bias_chronology"
"EXHB_166","Exhibit","A","PIGORS-F01-0166","","judicial_bias_chronology"
"EXHB_167","Exhibit","A","PIGORS-F01-0167","","judicial_bias_chronology"
"EXHB_168","Exhibit","A","PIGORS-F01-0168","","judicial_bias_chronology"
"EXHB_169","Exhibit","A","PIGORS-F01-0169","","judicial_bias_chronology"
"EXHB_170","Exhibit","A","PIGORS-F01-0170","","judicial_bias_chronology"
"EXHB_171","Exhibit","A","PIGORS-F01-0171","","judicial_bias_chronology"
"EXHB_172","Exhibit","A","PIGORS-F01-0172","","judicial_bias_chronology"
"EXHB_173","Exhibit","A","PIGORS-F01-0173","","judicial_bias_chronology"
"EXHB_174","Exhibit","A","PIGORS-F01-0174","","judicial_bias_chronology"
"EXHB_175","Exhibit","A","PIGORS-F01-0175","","judicial_bias_chronology"
"EXHB_176","Exhibit","A","PIGORS-F01-0176","","judicial_bias_chronology"
"EXHB_177","Exhibit","A","PIGORS-F01-0177","","judicial_bias_chronology"
"EXHB_178","Exhibit","A","PIGORS-F01-0178","","judicial_bias_chronology"
"EXHB_179","Exhibit","A","PIGORS-F01-0179","","judicial_bias_chronology"
"EXHB_180","Exhibit","A","PIGORS-F01-0180","","judicial_bias_chronology"
"EXHB_181","Exhibit","A","PIGORS-F01-0181","","judicial_bias_chronology"
"EXHB_182","Exhibit","A","PIGORS-F01-0182","","judicial_bias_chronology"
"EXHB_183","Exhibit","A","PIGORS-F01-0183","","judicial_bias_chronology"
"EXHB_184","Exhibit","A","PIGORS-F01-0184","","judicial_bias_chronology"
"EXHB_185","Exhibit","A","PIGORS-F01-0185","","judicial_bias_chronology"
"EXHB_186","Exhibit","A","PIGORS-F01-0186","","judicial_bias_chronology"
"EXHB_187","Exhibit","A","PIGORS-F01-0187","","judicial_bias_chronology"
"EXHB_188","Exhibit","A","PIGORS-F01-0188","","judicial_bias_chronology"
"EXHB_189","Exhibit","A","PIGORS-F01-0189","","judicial_bias_chronology"
"EXHB_190","Exhibit","A","PIGORS-F01-0190","","judicial_bias_chronology"
"EXHB_191","Exhibit","A","PIGORS-F01-0191","","judicial_bias_chronology"
"EXHB_192","Exhibit","A","PIGORS-F01-0192","","judicial_bias_chronology"
"EXHB_193","Exhibit","A","PIGORS-F01-0193","","judicial_bias_chronology"
"EXHB_194","Exhibit","A","PIGORS-F01-0194","","judicial_bias_chronology"
"EXHB_195","Exhibit","A","PIGORS-F01-0195","","judicial_bias_chronology"
"EXHB_196","Exhibit","A","PIGORS-F01-0196","","judicial_bias_chronology"
"EXHB_197","Exhibit","A","PIGORS-F01-0197","","judicial_bias_chronology"
"EXHB_198","Exhibit","A","PIGORS-F01-0198","","judicial_bias_chronology"
"EXHB_199","Exhibit","A","PIGORS-F01-0199","","judicial_bias_chronology"
"EXHB_200","Exhibit","A","PIGORS-F01-0200","","judicial_bias_chronology"
"EXHB_201","Exhibit","A","PIGORS-F01-0201","","judicial_bias_chronology"
"EXHB_202","Exhibit","A","PIGORS-F01-0202","","judicial_bias_chronology"
"EXHB_203","Exhibit","A","PIGORS-F01-0203","","judicial_bias_chronology"
"EXHB_204","Exhibit","A","PIGORS-F01-0204","","judicial_bias_chronology"
"EXHB_205","Exhibit","A","PIGORS-F01-0205","","judicial_bias_chronology"
"EXHB_206","Exhibit","A","PIGORS-F01-0206","","judicial_bias_chronology"
"EXHB_207","Exhibit","A","PIGORS-F01-0207","","judicial_bias_chronology"
"EXHB_208","Exhibit","A","PIGORS-F01-0208","","judicial_bias_chronology"
"EXHB_209","Exhibit","A","PIGORS-F01-0209","","judicial_bias_chronology"
"EXHB_210","Exhibit","A","PIGORS-F01-0210","","judicial_bias_chronology"
"EXHB_211","Exhibit","A","PIGORS-F01-0211","","judicial_bias_chronology"
"EXHB_212","Exhibit","A","PIGORS-F01-0212","","judicial_bias_chronology"
"EXHB_213","Exhibit","A","PIGORS-F01-0213","","judicial_bias_chronology"
"EXHB_214","Exhibit","A","PIGORS-F01-0214","","judicial_bias_chronology"
"EXHB_215","Exhibit","A","PIGORS-F01-0215","","judicial_bias_chronology"
"EXHB_216","Exhibit","A","PIGORS-F01-0216","","judicial_bias_chronology"
"EXHB_217","Exhibit","A","PIGORS-F01-0217","","judicial_bias_chronology"
"EXHB_218","Exhibit","A","PIGORS-F01-0218","","judicial_bias_chronology"
"EXHB_219","Exhibit","A","PIGORS-F01-0219","","judicial_bias_chronology"
"EXHB_220","Exhibit","A","PIGORS-F01-0220","","judicial_bias_chronology"
"EXHB_221","Exhibit","A","PIGORS-F01-0221","","judicial_bias_chronology"
"EXHB_222","Exhibit","A","PIGORS-F01-0222","","judicial_bias_chronology"
"EXHB_223","Exhibit","A","PIGORS-F01-0223","","judicial_bias_chronology"
"EXHB_224","Exhibit","A","PIGORS-F01-0224","","judicial_bias_chronology"
"EXHB_225","Exhibit","A","PIGORS-F01-0225","","judicial_bias_chronology"
"EXHB_226","Exhibit","A","PIGORS-F01-0226","","judicial_bias_chronology"
"EXHB_227","Exhibit","A","PIGORS-F01-0227","","judicial_bias_chronology"
"EXHB_228","Exhibit","A","PIGORS-F01-0228","","judicial_bias_chronology"
"EXHB_229","Exhibit","A","PIGORS-F01-0229","","judicial_bias_chronology"
"EXHB_230","Exhibit","A","PIGORS-F01-0230","","judicial_bias_chronology"
"EXHB_231","Exhibit","A","PIGORS-F01-0231","","judicial_bias_chronology"
"EXHB_232","Exhibit","A","PIGORS-F01-0232","","judicial_bias_chronology"
"EXHB_233","Exhibit","A","PIGORS-F01-0233","","judicial_bias_chronology"
"EXHB_234","Exhibit","A","PIGORS-F01-0234","","judicial_bias_chronology"
"EXHB_235","Exhibit","A","PIGORS-F01-0235","","judicial_bias_chronology"
"EXHB_236","Exhibit","A","PIGORS-F01-0236","","judicial_bias_chronology"
"EXHB_237","Exhibit","A","PIGORS-F01-0237","","judicial_bias_chronology"
"EXHB_238","Exhibit","A","PIGORS-F01-0238","","judicial_bias_chronology"
"EXHB_239","Exhibit","A","PIGORS-F01-0239","","judicial_bias_chronology"
"EXHB_240","Exhibit","A","PIGORS-F01-0240","","judicial_bias_chronology"
"EXHB_241","Exhibit","A","PIGORS-F01-0241","","judicial_bias_chronology"
"EXHB_242","Exhibit","A","PIGORS-F01-0242","","judicial_bias_chronology"
"EXHB_243","Exhibit","A","PIGORS-F01-0243","","judicial_bias_chronology"
"EXHB_244","Exhibit","A","PIGORS-F01-0244","","judicial_bias_chronology"
"EXHB_245","Exhibit","A","PIGORS-F01-0245","","judicial_bias_chronology"
"EXHB_246","Exhibit","A","PIGORS-F01-0246","","judicial_bias_chronology"
"EXHB_247","Exhibit","A","PIGORS-F01-0247","","judicial_bias_chronology"
"EXHB_248","Exhibit","A","PIGORS-F01-0248","","judicial_bias_chronology"
"EXHB_249","Exhibit","A","PIGORS-F01-0249","","judicial_bias_chronology"
"EXHB_250","Exhibit","A","PIGORS-F01-0250","","judicial_bias_chronology"
"EXHB_251","Exhibit","A","PIGORS-F01-0251","","judicial_bias_chronology"
"EXHB_252","Exhibit","A","PIGORS-F01-0252","","judicial_bias_chronology"
"EXHB_253","Exhibit","A","PIGORS-F01-0253","","judicial_bias_chronology"
"EXHB_254","Exhibit","A","PIGORS-F01-0254","","judicial_bias_chronology"
"EXHB_255","Exhibit","A","PIGORS-F01-0255","","judicial_bias_chronology"
"EXHB_256","Exhibit","A","PIGORS-F01-0256","","judicial_bias_chronology"
"EXHB_257","Exhibit","A","PIGORS-F01-0257","","judicial_bias_chronology"
"EXHB_258","Exhibit","A","PIGORS-F01-0258","","judicial_bias_chronology"
"EXHB_259","Exhibit","A","PIGORS-F01-0259","","judicial_bias_chronology"
"EXHB_260","Exhibit","A","PIGORS-F01-0260","","judicial_bias_chronology"
"EXHB_261","Exhibit","A","PIGORS-F01-0261","","judicial_bias_chronology"
"EXHB_262","Exhibit","A","PIGORS-F01-0262","","judicial_bias_chronology"
"EXHB_263","Exhibit","A","PIGORS-F01-0263","","judicial_bias_chronology"
"EXHB_264","Exhibit","A","PIGORS-F01-0264","","judicial_bias_chronology"
"EXHB_265","Exhibit","A","PIGORS-F01-0265","","judicial_bias_chronology"
"EXHB_266","Exhibit","A","PIGORS-F01-0266","","judicial_bias_chronology"
"EXHB_267","Exhibit","A","PIGORS-F01-0267","","judicial_bias_chronology"
"EXHB_268","Exhibit","A","PIGORS-F01-0268","","judicial_bias_chronology"
"EXHB_269","Exhibit","A","PIGORS-F01-0269","","judicial_bias_chronology"
"EXHB_270","Exhibit","A","PIGORS-F01-0270","","judicial_bias_chronology"
"EXHB_271","Exhibit","A","PIGORS-F01-0271","","judicial_bias_chronology"
"EXHB_272","Exhibit","A","PIGORS-F01-0272","","judicial_bias_chronology"
