":ID",":LABEL","factor","favors_party","lane","relevance_score"
"BIF_39637","BestInterestFactor","j","andrew","","10.0"
"BIF_39641","BestInterestFactor","j","andrew","","10.0"
"BIF_39645","BestInterestFactor","j","andrew","","10.0"
"BIF_39649","BestInterestFactor","j","andrew","","10.0"
"BIF_39651","BestInterestFactor","j","andrew","","10.0"
"BIF_39653","BestInterestFactor","j","andrew","","10.0"
"BIF_39657","BestInterestFactor","j","andrew","","10.0"
"BIF_39661","BestInterestFactor","j","andrew","","10.0"
"BIF_39665","BestInterestFactor","j","andrew","","10.0"
"BIF_39667","BestInterestFactor","j","andrew","","10.0"
"BIF_39669","BestInterestFactor","j","andrew","","10.0"
"BIF_39673","BestInterestFactor","j","andrew","","10.0"
"BIF_39677","BestInterestFactor","j","andrew","","10.0"
"BIF_39681","BestInterestFactor","j","andrew","","10.0"
"BIF_39683","BestInterestFactor","j","andrew","","10.0"
"BIF_39685","BestInterestFactor","j","andrew","","10.0"
"BIF_39687","BestInterestFactor","j","andrew","","10.0"
"BIF_39689","BestInterestFactor","j","andrew","","10.0"
"BIF_39691","BestInterestFactor","j","andrew","","10.0"
"BIF_39693","BestInterestFactor","j","andrew","","10.0"
"BIF_39695","BestInterestFactor","j","andrew","","10.0"
"BIF_39697","BestInterestFactor","j","andrew","","10.0"
"BIF_39699","BestInterestFactor","j","andrew","","10.0"
"BIF_39701","BestInterestFactor","j","andrew","","10.0"
"BIF_39703","BestInterestFactor","j","andrew","","10.0"
"BIF_39705","BestInterestFactor","j","andrew","","10.0"
"BIF_39707","BestInterestFactor","j","andrew","","10.0"
"BIF_39709","BestInterestFactor","j","andrew","","10.0"
"BIF_39711","BestInterestFactor","j","andrew","","10.0"
"BIF_39713","BestInterestFactor","j","andrew","","10.0"
"BIF_39715","BestInterestFactor","j","andrew","","10.0"
"BIF_39717","BestInterestFactor","j","andrew","","10.0"
"BIF_39719","BestInterestFactor","j","andrew","","10.0"
"BIF_39721","BestInterestFactor","j","andrew","","10.0"
"BIF_39723","BestInterestFactor","j","andrew","","10.0"
"BIF_39725","BestInterestFactor","j","andrew","","10.0"
"BIF_39727","BestInterestFactor","j","andrew","","10.0"
"BIF_39729","BestInterestFactor","j","andrew","","10.0"
"BIF_39731","BestInterestFactor","j","andrew","","10.0"
"BIF_39733","BestInterestFactor","j","andrew","","10.0"
"BIF_39735","BestInterestFactor","j","andrew","","10.0"
"BIF_39737","BestInterestFactor","j","andrew","","10.0"
"BIF_39739","BestInterestFactor","j","andrew","","10.0"
"BIF_39741","BestInterestFactor","j","andrew","","10.0"
"BIF_39743","BestInterestFactor","j","andrew","","10.0"
"BIF_39745","BestInterestFactor","j","andrew","","10.0"
"BIF_39747","BestInterestFactor","j","andrew","","10.0"
"BIF_39749","BestInterestFactor","j","andrew","","10.0"
"BIF_39751","BestInterestFactor","j","andrew","","10.0"
"BIF_39753","BestInterestFactor","j","andrew","","10.0"
"BIF_39755","BestInterestFactor","j","andrew","","10.0"
"BIF_39757","BestInterestFactor","j","andrew","","10.0"
"BIF_39759","BestInterestFactor","j","andrew","","10.0"
"BIF_39761","BestInterestFactor","j","andrew","","10.0"
"BIF_39763","BestInterestFactor","j","andrew","","10.0"
"BIF_39765","BestInterestFactor","j","andrew","","10.0"
"BIF_39767","BestInterestFactor","j","andrew","","10.0"
"BIF_39769","BestInterestFactor","j","andrew","","10.0"
"BIF_39771","BestInterestFactor","j","andrew","","10.0"
"BIF_39773","BestInterestFactor","j","andrew","","10.0"
"BIF_39775","BestInterestFactor","j","andrew","","10.0"
"BIF_39777","BestInterestFactor","j","andrew","","10.0"
"BIF_39779","BestInterestFactor","j","andrew","","10.0"
"BIF_39781","BestInterestFactor","j","andrew","","10.0"
"BIF_39783","BestInterestFactor","j","andrew","","10.0"
"BIF_39785","BestInterestFactor","j","andrew","","10.0"
"BIF_39787","BestInterestFactor","j","andrew","","10.0"
"BIF_39789","BestInterestFactor","j","andrew","","10.0"
"BIF_39791","BestInterestFactor","j","andrew","","10.0"
"BIF_39793","BestInterestFactor","j","andrew","","10.0"
"BIF_39795","BestInterestFactor","j","andrew","","10.0"
"BIF_39797","BestInterestFactor","j","andrew","","10.0"
"BIF_39799","BestInterestFactor","j","andrew","","10.0"
"BIF_39801","BestInterestFactor","j","andrew","","10.0"
"BIF_39803","BestInterestFactor","j","andrew","","10.0"
"BIF_39805","BestInterestFactor","j","andrew","","10.0"
"BIF_39807","BestInterestFactor","j","andrew","","10.0"
"BIF_39809","BestInterestFactor","j","andrew","","10.0"
"BIF_39811","BestInterestFactor","j","andrew","","10.0"
"BIF_39813","BestInterestFactor","j","andrew","","10.0"
"BIF_39815","BestInterestFactor","j","andrew","","10.0"
"BIF_39817","BestInterestFactor","j","andrew","","10.0"
"BIF_39819","BestInterestFactor","j","andrew","","10.0"
"BIF_39821","BestInterestFactor","j","andrew","","10.0"
"BIF_39823","BestInterestFactor","j","andrew","","10.0"
"BIF_39825","BestInterestFactor","j","andrew","","10.0"
"BIF_39827","BestInterestFactor","j","andrew","","10.0"
"BIF_39829","BestInterestFactor","j","andrew","","10.0"
"BIF_39831","BestInterestFactor","j","andrew","","10.0"
"BIF_39833","BestInterestFactor","j","andrew","","10.0"
"BIF_39835","BestInterestFactor","j","andrew","","10.0"
"BIF_39837","BestInterestFactor","j","andrew","","10.0"
"BIF_39839","BestInterestFactor","j","andrew","","10.0"
"BIF_39842","BestInterestFactor","j","andrew","","10.0"
"BIF_39846","BestInterestFactor","j","andrew","","10.0"
"BIF_39848","BestInterestFactor","j","andrew","","10.0"
"BIF_39852","BestInterestFactor","j","andrew","","10.0"
"BIF_39856","BestInterestFactor","j","andrew","","10.0"
"BIF_39858","BestInterestFactor","j","andrew","","10.0"
"BIF_39860","BestInterestFactor","j","andrew","","10.0"
"BIF_39862","BestInterestFactor","j","andrew","","10.0"
"BIF_39864","BestInterestFactor","j","andrew","","10.0"
"BIF_39866","BestInterestFactor","j","andrew","","10.0"
"BIF_39868","BestInterestFactor","j","andrew","","10.0"
"BIF_39870","BestInterestFactor","j","andrew","","10.0"
"BIF_39872","BestInterestFactor","j","andrew","","10.0"
"BIF_39875","BestInterestFactor","j","andrew","","10.0"
"BIF_39879","BestInterestFactor","j","andrew","","10.0"
"BIF_39881","BestInterestFactor","j","andrew","","10.0"
"BIF_39883","BestInterestFactor","j","andrew","","10.0"
"BIF_39885","BestInterestFactor","j","andrew","","10.0"
"BIF_39889","BestInterestFactor","j","andrew","","10.0"
"BIF_39892","BestInterestFactor","j","andrew","","10.0"
"BIF_39896","BestInterestFactor","j","andrew","","10.0"
"BIF_39898","BestInterestFactor","j","andrew","","10.0"
"BIF_39900","BestInterestFactor","j","andrew","","10.0"
"BIF_39902","BestInterestFactor","j","andrew","","10.0"
"BIF_39906","BestInterestFactor","j","andrew","","10.0"
"BIF_39911","BestInterestFactor","j","andrew","","10.0"
"BIF_39916","BestInterestFactor","j","andrew","","10.0"
"BIF_39921","BestInterestFactor","j","andrew","","10.0"
"BIF_39926","BestInterestFactor","j","andrew","","10.0"
"BIF_39928","BestInterestFactor","j","andrew","","10.0"
"BIF_39934","BestInterestFactor","j","andrew","","10.0"
"BIF_39937","BestInterestFactor","j","andrew","","10.0"
"BIF_39939","BestInterestFactor","j","andrew","","10.0"
"BIF_39942","BestInterestFactor","j","andrew","","10.0"
"BIF_39946","BestInterestFactor","j","andrew","","10.0"
"BIF_39949","BestInterestFactor","j","andrew","","10.0"
"BIF_39951","BestInterestFactor","j","andrew","","10.0"
"BIF_39954","BestInterestFactor","j","andrew","","10.0"
"BIF_39959","BestInterestFactor","j","andrew","","10.0"
"BIF_39963","BestInterestFactor","j","andrew","","10.0"
