"Extension","Count","SizeMB"
".vsixmanifest_copy29","2","0"
".vsixmanifest_copy23","2","0"
".vsixmanifest_copy24","2","0"
".vsixmanifest_copy25","2","0"
".espressostorage","2","0"
".expect","2","0"
".vsixmanifest_copy26","2","0"
".mailmap_f5df0809_copy1","2","0"
".vsixmanifest_copy27","2","0"
".mar","2","16.4"
".gitignore_11","2","0"
".eslintrc_copy18","2","0"
".nycrc_copy6","2","0"
".editorconfig_copy2","2","0"
".editorconfig_copy3","2","0"
".editorconfig_copy4","2","0"
".editorconfig_copy5","2","0"
".clixml","2","0"
".ronn","2","0"
".clang-format_81309902_copy1","2","0"
".clang-format","2","0"
".chm","2","9.4"
".certs","2","0"
".cer","2","0"
".tmp","2","190"
".cdxml","2","0"
".tmSnippet","2","0"
".CC0","2","0"
".sbpl","2","0"
".sdb","2","5.3"
".security","2","0.1"
".editorconfig_copy1","2","0"
".status","2","0"
".stacktags","2","0"
".sse","2","0"
".src","2","0"
".dmg","2","7"
".dpr","2","0"
".sty","2","0"
".bfc","2","0"
".StyleCop","2","0"
".cu","2","0"
".sym","2","26.5"
".SNOWFLAKE","2","0"
".cpuprofile","2","0.1"
".cose","2","0"
".tct","2","0"
".com","2","0"
".cur","2","0"
".nycrc_copy5","2","0"
".bazelrc","2","0"
".trie","2","0.6"
".part001","2","60"
".part000","2","60"
".eslintrc_copy10","2","0"
".eslintrc_copy11","2","0"
".eslintrc_copy12","2","0"
".p7b","2","0"
".eslintrc_copy13","2","0"
".eslintrc_copy14","2","0"
".eslintrc_copy15","2","0"
".eslintrc_copy16","2","0"
".old","2","0.1"
".eslintrc_copy17","2","0"
".vsixmanifest_copy42","2","0"
".eslintrc_copy19","2","0"
".nycrc_copy7","2","0"
".part002","2","60"
".part003","2","60"
".part005","2","60"
".part006","2","60"
".gitignore_10","2","0"
".env_copy1","2","0"
".vc","2","0.1"
".eps","2","0.1"
".version","2","0"
".prompt","2","0"
".Processor","2","0"
".bazelignore","2","0"
".all-contributorsrc_copy1","2","0"
".pegjs","2","0"
".vsdx","2","0.1"
".vsix","2","0.8"
".part012","2","34.9"
".part011","2","60"
".part010","2","60"
".part008","2","60"
".pp","2","0.5"
".gdnbaselines_copy1","2","0"
".stl","2","0"
".vsixmanifest_copy43","2","0"
".gitignore_copy1","2","0"
".idl","2","0"
".ijx","2","84.1"
".gitignore_9","2","0"
".202212101352__META-INF__LICENSE","2","0"
".gitignore_copy4","2","0"
".gitignore_copy5","2","0"
".gitignore_copy10","2","0"
".gitignore_copy6","2","0"
".lance","2","1.8"
".1 and GNU General Public License, version 2 with the Classpath Exception","2","0.1"
".gitignore_5a81ec33_copy1","2","0"
".gitignore_copy7","2","0"
".gitignore_copy8","2","0"
".gitignore_copy9","2","0"
".004","2","149.4"
".vsixmanifest_copy8","2","0"
".gitignore_4","2","0"
".gitignore_copy11","2","0"
".gitignore_copy13","2","0"
".vsixmanifest_copy9","2","0"
".gitignore_copy3","2","0"
".htc","2","0"
".hbs","2","0"
".aif","2","0.1"
".gitattributes_copy3","2","0"
".gypi","2","0"
".gitignore_copy12","2","0"
".access","2","0"
".gitignore_copy2","2","0"
