anchor_kind,anchor_token,count
MCR,MCR 3.715,1
MCR,MCR 3.722,1
MCL,MCL 722.4a,1
MCL,MCL 691.1821,1
MCL,MCL 600.2950b,1
MCR,MCR 3.705,1
MCR,MCR 3.706,1
USC,18 USC 2265,1
MCR,MCR 3.703,1
MCL,MCL 600.29501,1
MCL,"MCL
         764.15b",1
MCL,"MCL
                        28.615",1
MCL,MCL 780.651,1
MCR,"MCR
                   3.716",1
MCL,MCL 691.1805,1
MCL,MCL 28.422,1
MCL,"MCL
              691.1809",1
MCL,"MCL
          691.1809",1
MCR,"MCR
               3.718",1
MCL,MCL 691.1813,1
MCR,MCR 3.721,1
MCL,MCL 691.1811,1
MCL,MCL 691.1810,1
MCL,MCL 691.1819,1
MCL,MCL 710.24a,1
MCL,MCL 710.34,1
MCL,MCL 710.37,1
MCL,MCL 710.36,1
MCL,MCL 710.54,1
MCL,MCL 710.23a,1
MCL,MCL 710.22,1
MCL,MCL 710.46,1
MCR,"MCR
         3.002",1
MCL,MCL 710.23e,1
MCL,MCL 710.64,1
USC,25 USC 1917,1
MCR,MCR 3.901,1
MCR,MCR 3.951,1
MCR,MCR 2.613,1
MCR,"MCR
                          3.925",1
MCL,MCL 712A.17,1
MCL,MCL 28.247,1
MCL,MCL 333.5129,1
MCL,MCL 722.1001,1
MCL,"MCL
               712A.19a",1
MCL,MCL 700.5103,1
MCL,MCL 712A.2a,1
MCR,"MCR
                   3.977",1
MCL,MCL 722.123a,1
USC,"42
                   USC 672",1
MCR,"MCR
              3.952",1
MCL,"MCL
              712A.2d",1
MCR,MCR 3.953,1
MCL,"MCL
          712B.1",1
MCL,MCL 722.823,1
MCR,MCR 6.401,1
MCR,"MCR
                   3.974",1
MCL,MCL 712A.10,1
MCR,MCR 3.991,1
MCR,MCR 3.987,1
MCR,MCR 2.004,1
MCL,MCL 722.625,1
MCL,MCL 712A.32,1
MCR,"MCR
         2.602",1
MCL,MCL 722.131,1
MCL,"MCL
              712A.18e",1
MCL,MCL 712A.18t,1
MCL,"MCL
              780.621",1
MCL,MCL 791.228,1
MCR,MCR 2.406,1
MCL,MCL 712A.6a,1
MCL,MCL 600.1711,1
MCL,MCL 712A.2b,1
MCL,MCL 712A.2f,1
MCL,"MCL
              712A.2f",1
MCL,"MCL
         712A.2",1
MCR,"MCR
     3.907",1
MCL,"MCL
         28.243",1
MCL,MCL 766.14,1
MCR,MCR 3.942,1
MCL,MCL 712A.30,1
MCL,MCL 712A.19,1
MCL,MCL 712A.18d,1
MCR,"MCR
                        3.935",1
MCR,"MCR
                          3.993",1
MCL,MCL 764.27a,1
MCR,"MCR
         6.110",1
MCR,MCR 3.952,1
MCR,MCR 6.402,1
MCR,MCR 3.956,1
MCR,"MCR
              3.944",1
MCR,MCR 3.962,1
MCR,"MCR
              3.915",1
MCR,"MCR
               3.920",1
MCL,"MCL
                    712B.23",1
MCL,MCL 722.954a,1
MCR,"MCR
         3.974",1
MCL,"MCL
          712B.9",1
MCL,"MCL
          712B.23",1
MCR,"MCR
              3.971",1
MCR,"MCR
              2.412",1
MCL,MCL 330.1100a,1
MCL,"MCL
              722.622",1
MCR,"MCR
         3.977",1
MCL,MCL 552.605,1
MCL,MCL 712A.21,1
MCL,"MCL
              712A.19",1
MCR,"MCR
              3.962",1
MCR,"MCR
                   3.962",1
MCR,"MCR
              3.967",1
MCR,"MCR
          3.920",1
MCL,"MCL
              722.631",1
MCR,"MCR
                   3.979",1
MCL,MCL 710.27,1
MCR,MCR 3.979,1
MCL,MCL 400.203,1
MCL,MCL 400.665,1
MCL,MCL 400.667,1
MCL,MCL 700.5401,1
MCL,MCL 600.2950l,1
MCR,MCR 3.984,1
MCR,MCR 3.986,1
MCR,MCR 3.983,1
MCR,MCR 3.992,1
MCL,"MCL
                   712B.29",1
MCL,MCL 712B.9,1
MCL,MCL 712B.15,1
MCL,"MCL
                   712B.25",1
MCL,MCL 712B.29,1
MCL,MCL 712B.11,1
MCL,MCL 712B.27,1
USC,25 USC 1911,1
USC,"25
                   USC 1912",1
USC,25 USC 1913,1
MCR,"MCR
              7.316",1
MCL,"MCL
              712A.13a",1
MCL,"MCL
              257.321a",1
MCL,MCL 600.8717,1
MCR,MCR 7.113,1
MCL,"MCL
                    600.5714",1
MCL,MCL 600.5706,1
MCL,"MCL
                          600.5714",1
MCL,"MCL
                         600.5714",1
MCL,MCL 600.5747,1
MCL,MCL 600.5759,1
MCR,"MCR
              7.101",1
MCL,MCL 600.5726,1
MCL,MCL 600.8401,1
MCL,MCL 600.8407,1
MCL,MCL 600.8426,1
MCL,MCL 600.8404,1
MCL,MCL 600.8405,1
MCL,"MCL
         600.8411",1
MCL,"MCL
         600.8410",1
MCR,"MCR
              5.106",1
MCL,MCL 700.5202a,1
MCL,MCL 700.5301a,1
MCL,MCL 700.5433,1
MCL,"MCL
                   700.5202a",1
MCL,MCL 700.1401,1
MCL,"MCL
               700.3415",1
MCL,MCL 700.3505,1
MCL,MCL 700.7411,1
