label,count
L_10_Review_Each_party_to_a_support_order_may_submit_a_written_request_to_have_the_friend_of_the_court_review_the_order_The;Node;Violation;Kind_violation,4
ActorHub;Node;The_Court_finds_that_Plaintiff_Father_is_currently_self_employed_and_was_recently;Violation;Kind_violation,4
Node;Violation;Support_was_reduced_because_payer_s_income_was_reduced;Kind_violation,4
Node;Violation;added_to_past_due_support_Unpaid_support_is_a_lien_by_operation_of_law_and_the_payer_s_property_can_be_encumbered;Kind_violation,4
Node;Violation;parenting_time_shall_resume;Kind_violation,4
Court_address_Court_telephone_no;Node;Violation;Kind_violation,4
Node;Violation;the_regular_parenting_time_schedule_Regular_parenting_time_shall_occur_up_until_holiday;Kind_violation,4
H_Order_that_Defendant_shall_have_sole_legal_custody;Node;Violation;Kind_violation,4
B_Grant_Defendant_s_Objection_to_joint_physical_custody;Node;Violation;Kind_violation,4
Node;Violation;recesses_and_end_at_6_00_p_m_the_day_before_school_resumes;Kind_violation,4
L_5_Defendant_objects_to_the_Order_of_joint_physical_custody;Node;Violation;Kind_violation,4
L_6_Defendant_objects_to_the_Order_of_joint_legal_custody;Node;Violation;Kind_violation,4
Plaintiff_shall_next_exercise_parenting_time_beginning_Friday;July_26;L_2024;at;Node;Violation;Kind_violation,4
CUSTODY;PARENTING_TIME;AND_CHILD_SUPPORT;Node;Violation;Kind_violation,4
Node;Violation;regarding_the_minor_child_through_the_AppClose_parenting_application_The;Kind_violation,4
Node;Violation;shall_be_Friday_at_5_30_p_m_until_Sunday_at_5_30_p_m_with_parenting_time_exchanges;Kind_violation,4
L_4_Defendant_did_not_express_an_agreement_to_joint_physical_custody_and;Node;Violation;Kind_violation,4
Node;Violation;parties_to_conduct_the_parenting_time_exchanges_There_shall_be_no_communication_at;Kind_violation,4
Node;Violation;person_awarded_custody_must_promptly_notify_the_friend_of_the_court_in_writing_when_the_minor_is_moved_to;Kind_violation,4
Node;Violation;sole_legal_custody;Kind_violation,4
L_6_The_twelve_factors_set_forth_in_the_Child_Custody_Act_MCLA_722_23_were_considered_in_the_following;Node;Violation;Kind_violation,4
G_Grant_Defendant_s_Objection_to_joint_legal_custody;Node;Violation;Kind_violation,4
Node;Prior_Orders_not_specifically_or_by_implication_modified_in_this_Order_are_preserved_and_remain;Violation;Kind_violation,3
