dataset,source_name,primary_lane,rows,top_signal,avg_signal
pack_old_all,ruscomartiniemailsscannd_0010.pdf,MEEK2,3,37.7,33.45333333333333
pack_old_all,ruscomartiniemailsscannd_0001.pdf,MEEK2,3,37.69,33.45666666666667
pack_old_all,jtc_scanned_0016.pdf.txt,MEEK2,3,36.22,36.13666666666666
pack_old_all,jtc_scanned_0006.pdf.txt,MEEK2,3,36.09,30.813333333333333
pack_old_all,jtc_scanned_0009.pdf.txt,MEEK2,3,36.09,36.07333333333333
pack_old_all,dockets_notices_proofs_scanned_0026.pdf.txt,MEEK3,3,33.72,29.689999999999998
pack_old_all,dockets notices proofs scanned_0027.pdf,MEEK3,3,31.82,30.436666666666667
pack_old_all,dockets notices proofs scanned_0025.pdf,MEEK3,3,31.75,28.896666666666665
pack_old_all,custody_scanned2_0023.pdf.txt,MEEK2,3,31.71,22.89
pack_old_all,dockets notices proofs scanned_0026.pdf,MEEK3,3,31.71,29.073333333333334
pack_old_all,healthwest2ndscanned_0002.pdf,MEEK2,3,31.06,27.97
pack_old_all,healthwest2ndscanned_0027.pdf,MEEK2,3,31.06,27.81
pack_old_all,dockets notices proofs scanned_0001.pdf,MEEK3,3,30.44,28.72666666666667
pack_old_all,dockets notices proofs scanned_0004.pdf,MEEK3,3,30.44,26.95
pack_old_all,jtc_scanned_0016.pdf.txt,MEEK3,3,30.15,29.586666666666662
pack_old_all,dockets notices proofs scanned_0021.pdf,MEEK3,3,28.36,26.650000000000002
pack_old_all,dockets notices proofs scanned_0011.pdf,MEEK3,3,27.88,26.169999999999998
pack_old_all,dockets notices proofs scanned_0017.pdf,MEEK3,3,27.88,26.099999999999998
pack_new_primary_all,6683a8d8-d1aa-4b3f-8b3a-24d8e423201b.pdf,MEEK2,3,27.6,27.593333333333334
pack_old_all,custody_scanned_0032.pdf.txt,MEEK2,3,27.42,21.346666666666668
pack_old_all,dockets_notices_proofs_scanned_0025.pdf.txt,MEEK3,3,27.29,27.19333333333333
pack_old_all,dockets_notices_proofs_scanned_0027.pdf.txt,MEEK3,3,27.29,27.22666666666667
pack_old_all,dockets_notices_proofs_scanned_0011.pdf.txt,MEEK3,3,27.09,25.76
pack_old_all,dockets_notices_proofs_scanned_0017.pdf.txt,MEEK3,3,27.09,25.763333333333332
pack_old_all,3055edeb-0469-492a-9865-021bb87dcc03.md,MEEK3,3,26.41,25.933333333333334
pack_old_all,jtc_scanned_0012.pdf.txt,MEEK4,3,26.24,26.176666666666666
pack_old_all,dockets notices proofs scanned_0006.pdf,MEEK3,3,25.34,25.27333333333333
pack_old_all,dockets_notices_proofs_scanned_0006.pdf.txt,MEEK3,3,25.09,25.09
pack_old_all,custody_scanned_0003.pdf.txt,MEEK2,3,24.61,23.733333333333334
pack_old_all,custody_scanned_0010.pdf.txt,MEEK2,3,24.56,21.876666666666665
pack_old_all,custody_scanned2_0014.pdf.txt,MEEK2,3,24.3,23.166666666666668
pack_old_all,custody_scanned2_0019.pdf.txt,MEEK2,3,24.21,21.486666666666668
pack_old_all,custody_scanned_0066.pdf.txt,MEEK2,3,22.77,21.14
pack_old_all,custody_scanned_0043.pdf.txt,MEEK2,3,16.36,16.2
